Location,LifeBoth1990,LifeBoth2000,LifeBoth2006,LifeFemale1990,LifeFemale2000,LifeFemale2006,LifeMale1990,LifeMale2000,LifeMale2006
Algeria,66,70,71,68,71,72,65,68,70
Angola,42,42,41,44,44,43,40,40,40
Benin,51,53,55,51,54,55,50,53,54
Botswana,66,50,52,68,51,52,64,49,51
Burkina Faso,48,48,47,49,49,49,47,47,46
Burundi,50,48,49,51,49,50,49,47,48
Cameroon,56,52,51,58,54,52,55,51,50
Cape Verde,67,69,70,68,71,72,65,66,66
Central African Republic,52,48,48,53,48,48,52,48,48
Chad,49,47,46,50,48,47,48,46,46
Comoros,58,62,65,61,65,67,56,60,62
Congo,60,54,54,62,55,55,58,53,53
Cote d'Ivoire,54,53,53,58,56,55,51,50,50
Democratic Republic of the Congo,48,46,47,50,49,49,47,44,46
Equatorial Guinea,52,48,46,54,49,47,51,47,46
Eritrea,55,61,63,58,63,65,53,58,61
Ethiopia,49,53,56,51,55,58,46,52,55
Gabon,62,60,58,65,63,60,59,58,56
Gambia,55,57,59,57,59,61,53,55,57
Ghana,58,58,57,60,59,58,57,57,56
Guinea,45,51,53,47,53,55,43,49,51
Guinea-Bissau,44,47,48,48,50,51,41,44,46
Kenya,61,53,53,63,54,55,58,51,52
Lesotho,61,50,42,63,54,44,59,46,40
Liberia,45,44,44,47,46,46,43,43,43
Madagascar,53,56,59,54,58,61,51,55,57
Malawi,47,48,50,48,50,51,45,47,49
Mali,43,46,46,45,47,48,42,44,45
Mauritania,57,58,58,59,60,60,55,56,55
Mauritius,69,71,73,73,75,76,66,68,69
Mozambique,45,49,50,45,50,51,44,48,49
Namibia,63,61,61,65,63,63,60,58,59
Niger,34,40,42,35,41,43,34,40,42
Nigeria,46,47,48,46,48,49,45,46,48
Rwanda,50,46,52,52,47,53,49,46,51
Sao Tome and Principe,61,61,61,63,63,63,59,60,60
Senegal,55,57,59,57,59,61,53,55,57
Seychelles,69,72,72,75,76,77,64,67,68
Sierra Leone,38,37,40,41,41,42,37,34,39
South Africa,63,58,51,67,61,53,59,56,50
Swaziland,60,51,42,62,53,43,58,49,41
Togo,55,56,57,59,59,60,52,54,55
Uganda,50,46,50,52,47,51,48,46,49
United Republic of Tanzania,51,49,50,52,49,51,50,48,50
Zambia,52,42,43,53,43,43,50,41,42
Zimbabwe,62,45,43,65,46,43,58,44,44
Antigua and Barbuda,70,72,73,73,74,75,68,69,70
Argentina,72,74,75,76,78,78,69,71,72
Bahamas,70,73,74,74,76,77,67,70,71
Barbados,74,75,75,77,78,79,70,71,72
Belize,74,70,69,76,74,74,72,67,65
Bolivia,58,63,66,59,64,67,57,61,64
Brazil,67,70,72,70,73,75,63,67,68
Canada,77,79,81,80,82,83,74,77,78
Chile,72,77,78,76,80,81,69,74,75
Colombia,68,71,74,71,76,78,65,67,71
Costa Rica,76,77,78,78,79,80,74,74,76
Cuba,74,78,78,76,80,80,72,75,76
Dominica,73,74,74,75,76,76,71,72,72
Dominican Republic,65,70,70,69,73,74,63,67,66
Ecuador,67,70,73,69,73,76,64,68,70
El Salvador,65,70,71,69,73,75,61,66,67
Grenada,65,67,68,66,69,70,64,65,66
Guatemala,63,66,68,65,69,71,61,64,65
Guyana,59,60,64,61,62,66,56,57,63
Haiti,55,58,61,56,60,63,53,56,59
Honduras,66,67,70,68,70,73,64,64,67
Jamaica,70,72,72,71,74,75,69,70,69
Mexico,70,73,74,74,76,77,67,71,72
Nicaragua,67,72,71,71,74,74,63,69,68
Panama,73,76,76,75,78,79,71,73,74
Paraguay,73,74,75,75,77,78,71,71,72
Peru,67,69,73,69,71,75,65,67,71
